iter	Passed	Remaining
683	35003	16171
684	35034	16110
685	35057	16046
686	35079	15982
687	35103	15919
688	35127	15855
689	35150	15792
690	35179	15731
691	35203	15668
692	35226	15605
693	35268	15550
694	35292	15488
695	35315	15425
696	35349	15367
697	35373	15305
698	35400	15244
699	35423	15181
700	35455	15122
701	35479	15061
702	35503	14999
703	35541	14943
704	35567	14882
705	35596	14823
706	35619	14761
707	35644	14700
708	35674	14642
709	35699	14581
710	35722	14520
711	35746	14459
712	35774	14400
713	35814	14345
714	35841	14286
715	35865	14225
716	35894	14167
717	35918	14107
718	35942	14046
719	35966	13986
720	35989	13926
721	36018	13868
722	36042	13808
723	36064	13748
724	36104	13694
725	36128	13635
726	36160	13578
727	36183	13518
728	36206	13459
729	36230	13400
730	36253	13340
731	36283	13284
732	36307	13225
733	36331	13166
734	36375	13114
735	36398	13056
736	36420	12996
737	36450	12940
738	36474	12882
739	36501	12824
740	36524	12766
741	36547	12707
742	36570	12649
743	36600	12593
744	36645	12543
745	36668	12485
746	36691	12427
747	36717	12370
748	36748	12315
749	36772	12257
750	36796	12200
751	36828	12145
752	36852	12088
753	36875	12030
754	36920	11980
755	36945	11924
756	36974	11868
757	36997	11811
758	37020	11754
759	37045	11698
760	37068	11641
761	37102	11588
762	37126	11532
763	37149	11475
764	37193	11425
765	37218	11369
766	37241	11313
767	37264	11256
768	37295	11203
769	37322	11148
770	37346	11092
771	37380	11039
772	37404	10984
773	37427	10928
774	37451	10873
775	37491	10822
776	37522	10769
777	37548	10714
778	37571	10659
779	37596	10604
780	37620	10549
781	37654	10496
782	37677	10441
783	37699	10386
784	37726	10332
785	37781	10286
786	37806	10232
787	37830	10177
788	37853	10123
789	37884	10070
790	37907	10015
791	37930	9961
792	37953	9907
793	37977	9852
794	37999	9798
795	38029	9746
796	38074	9697
797	38097	9643
798	38121	9590
799	38153	9538
800	38180	9485
801	38202	9431
802	38225	9377
803	38259	9326
804	38283	9273
805	38313	9221
806	38343	9170
807	38367	9117
808	38393	9064
809	38416	9011
810	38446	8959
811	38471	8907
812	38494	8854
813	38519	8801
814	38541	8748
815	38574	8698
816	38619	8650
817	38644	8598
818	38674	8547
819	38699	8495
820	38722	8442
821	38745	8390
822	38776	8339
823	38799	8287
824	38823	8235
825	38850	8184
826	38892	8135
827	38923	8085
828	38947	8033
829	38972	7982
830	38995	7930
831	39019	7878
832	39051	7829
833	39075	7777
834	39105	7727
835	39128	7676
836	39163	7626
837	39186	7575
838	39209	7524
839	39232	7472
840	39255	7421
841	39285	7371
842	39314	7321
843	39340	7271
844	39363	7220
845	39385	7169
846	39432	7123
847	39459	7072
848	39482	7022
849	39507	6971
850	39530	6921
851	39553	6870
852	39584	6821
853	39608	6771
854	39632	6721
855	39657	6671
856	39680	6621
857	39718	6573
858	39753	6525
859	39781	6475
860	39805	6426
861	39831	6376
862	39854	6326
863	39885	6278
864	39909	6228
865	39935	6179
866	39958	6129
867	39995	6082
868	40020	6033
869	40051	5984
870	40074	5935
871	40100	5886
872	40132	5838
873	40156	5789
874	40179	5739
875	40203	5690
876	40227	5641
877	40275	5596
878	40302	5547
879	40325	5498
880	40348	5449
881	40372	5401
882	40395	5352
883	40419	5303
884	40449	5256
885	40473	5207
886	40499	5159
887	40524	5111
888	40572	5065
889	40594	5017
890	40618	4969
891	40648	4921
892	40677	4874
893	40700	4825
894	40724	4777
895	40749	4729
896	40783	4683
897	40807	4635
898	40853	4589
899	40878	4542
900	40904	4494
901	40926	4446
902	40958	4399
903	40981	4352
904	41004	4304
905	41029	4256
906	41053	4209
907	41085	4162
908	41115	4116
909	41144	4069
910	41169	4022
911	41192	3974
912	41215	3927
913	41247	3881
914	41270	3833
915	41298	3787
916	41330	3740
917	41353	3693
918	41377	3646
919	41413	3601
920	41438	3554
921	41462	3507
922	41489	3461
923	41520	3415
924	41544	3368
925	41568	3321
926	41598	3275
927	41640	3230
928	41689	3186
929	41720	3140
930	41745	3093
931	41770	3047
932	41794	3001
933	41827	2955
934	41852	2909
935	41875	2863
936	41898	2817
937	41922	2770
938	41955	2725
939	41990	2680
940	42012	2634
941	42035	2588
942	42060	2542
943	42088	2496
944	42112	2450
945	42135	2405
946	42158	2359
947	42182	2313
948	42205	2268
949	42243	2223
950	42276	2178
951	42306	2133
952	42333	2087
953	42363	2042
954	42394	1997
955	42427	1952
956	42462	1907
957	42490	1862
958	42517	1817
959	42558	1773
960	42588	1728
961	42614	1683
962	42640	1638
963	42665	1593
964	42688	1548
965	42718	1503
966	42742	1458
967	42770	1413
968	42795	1369
969	42846	1325
970	42872	1280
971	42897	1235
972	42922	1191
973	42944	1146
974	42976	1101
975	43000	1057
976	43023	1012
977	43047	968
978	43077	924
979	43116	879
980	43139	835
981	43163	791
982	43187	746
983	43210	702
984	43239	658
985	43264	614
986	43287	570
987	43311	526
988	43335	481
989	43357	437
990	43393	394
991	43429	350
992	43457	306
993	43481	262
994	43504	218
995	43528	174
996	43559	131
997	43604	87
998	43631	43
999	43661	0
